norm_title,composite_score,source_count,sources,example_title,example_url,category,status
google data analytics,0.042,1,trends,google data analytics,https://trends.google.com/trends/explore?q=google+data+analytics,data_analytics,NEW / SPIKE
what power bi,0.0336,1,trends,what is power bi,https://trends.google.com/trends/explore?q=what+is+power+bi,data_analytics,RECURRING
power bi download,0.0312,1,trends,power bi download,https://trends.google.com/trends/explore?q=power+bi+download,data_analytics,RECURRING
dashboard,0.030599999999999995,1,trends,dashboard,https://trends.google.com/trends/explore?q=dashboard,data_analytics,RECURRING
dashboard power bi,0.030599999999999995,1,trends,dashboard power bi,https://trends.google.com/trends/explore?q=dashboard+power+bi,data_analytics,RECURRING
mikehasaagentacct,0.02944,1,github,mikehasa/agentacct,https://github.com/mikehasa/agentacct,ai_analytics,NEW / SPIKE
data engineering services,0.0288,1,trends,data engineering services,https://trends.google.com/trends/explore?q=data+engineering+services,analytics_engineering,RECURRING
sql,0.0288,1,trends,sql,https://trends.google.com/trends/explore?q=sql,data_analytics,RECURRING
zhongyu09openchatbi,0.026000000000000002,1,github,zhongyu09/openchatbi,https://github.com/zhongyu09/openchatbi,ai_analytics,NEW / SPIKE
timecopilottimecopilot,0.024560000000000002,1,github,TimeCopilot/timecopilot,https://github.com/TimeCopilot/timecopilot,ai_analytics,NEW / SPIKE
data analytics course,0.024,1,trends,data analytics course,https://trends.google.com/trends/explore?q=data+analytics+course,data_analytics,NEW / SPIKE
data engineer,0.024,1,trends,data engineer,https://trends.google.com/trends/explore?q=data+engineer,analytics_engineering,NEW / SPIKE
ai dashboard design,0.022799999999999997,1,trends,ai dashboard design,https://trends.google.com/trends/explore?q=ai+dashboard+design,data_analytics,NEW / SPIKE
power bi service,0.022199999999999998,1,trends,power bi service,https://trends.google.com/trends/explore?q=power+bi+service,data_analytics,EVERGREEN
data engineering platform,0.021599999999999998,1,trends,data engineering platform,https://trends.google.com/trends/explore?q=data+engineering+platform,analytics_engineering,NEW / SPIKE
power bi ai,0.0192,1,trends,power bi ai,https://trends.google.com/trends/explore?q=power+bi+ai,data_analytics,NEW / SPIKE
evelyyyyynnnnn50aiengineeringtoolkit,0.019000000000000003,1,github,evelyyyyynnnnn/5.0-Ai-Engineering-Toolkit,https://github.com/evelyyyyynnnnn/5.0-Ai-Engineering-Toolkit,analytics_engineering,NEW / SPIKE
dax power bi,0.0186,1,trends,dax power bi,https://trends.google.com/trends/explore?q=dax+power+bi,data_analytics,NEW / SPIKE
dax,0.0186,1,trends,dax,https://trends.google.com/trends/explore?q=dax,data_analytics,NEW / SPIKE
power query,0.018,1,trends,power query,https://trends.google.com/trends/explore?q=power+query,data_analytics,NEW / SPIKE
power bi jobs,0.018,1,trends,power bi jobs,https://trends.google.com/trends/explore?q=power+bi+jobs,data_analytics,NEW / SPIKE
power bi online,0.0168,1,trends,power bi online,https://trends.google.com/trends/explore?q=power+bi+online,data_analytics,NEW / SPIKE
business analytics,0.0156,1,trends,business analytics,https://trends.google.com/trends/explore?q=business+analytics,analytics_engineering,NEW / SPIKE
power bi pro,0.0156,1,trends,power bi pro,https://trends.google.com/trends/explore?q=power+bi+pro,data_analytics,NEW / SPIKE
learn power bi,0.0144,1,trends,learn power bi,https://trends.google.com/trends/explore?q=learn+power+bi,data_analytics,NEW / SPIKE
powerbi,0.0144,1,trends,powerbi,https://trends.google.com/trends/explore?q=powerbi,data_analytics,NEW / SPIKE
